"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 12:14:06 IST 2026","Thu May 28 12:14:07 IST 2026","1806","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifyInvalidNoteIdDeletion","verifyInvalidNoteIdDeletion",""
"passed","Thu May 28 12:14:02 IST 2026","Thu May 28 12:14:06 IST 2026","3247","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifySuccessfulNoteDeletion","verifySuccessfulNoteDeletion",""
"passed","Thu May 28 12:14:32 IST 2026","Thu May 28 12:14:35 IST 2026","2925","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyCreatedNoteStillExistsInApi","verifyCreatedNoteStillExistsInApi",""
"passed","Thu May 28 12:14:19 IST 2026","Thu May 28 12:14:28 IST 2026","9125","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiStabilityDuringMultipleRequests","verifyApiStabilityDuringMultipleRequests",""
"passed","Thu May 28 12:14:05 IST 2026","Thu May 28 12:14:14 IST 2026","8368","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyUiCreatedNoteInApi","verifyUiCreatedNoteInApi",""
"passed","Thu May 28 12:13:53 IST 2026","Thu May 28 12:14:01 IST 2026","7935","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNewlyCreatedNoteAppearsInstantly","verifyNewlyCreatedNoteAppearsInstantly",""
"passed","Thu May 28 12:14:18 IST 2026","Thu May 28 12:14:19 IST 2026","1530","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiResponseTime","verifyApiResponseTime",""
"failed","Thu May 28 12:14:13 IST 2026","Thu May 28 12:14:24 IST 2026","11537","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDisappearsFromUi","verifyDeletedNoteDisappearsFromUi",""
"passed","Thu May 28 12:14:06 IST 2026","Thu May 28 12:14:09 IST 2026","2743","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"skipped","Thu May 28 12:14:29 IST 2026","Thu May 28 12:14:29 IST 2026","2","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDoesNotReappearAfterRefresh","verifyDeletedNoteDoesNotReappearAfterRefresh",""
"passed","Thu May 28 12:13:53 IST 2026","Thu May 28 12:13:58 IST 2026","4861","ParallelSuite","AllParallelTests","tests.api.UnauthorizedApiTests","tests.api.UnauthorizedApiTests","verifyUnauthorizedApiRequestHandling","verifyUnauthorizedApiRequestHandling",""
"passed","Thu May 28 12:15:09 IST 2026","Thu May 28 12:15:12 IST 2026","3658","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:14:56 IST 2026","Thu May 28 12:14:58 IST 2026","2144","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:14:09 IST 2026","Thu May 28 12:14:31 IST 2026","22445","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:15:03 IST 2026","Thu May 28 12:15:05 IST 2026","2205","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:14:36 IST 2026","Thu May 28 12:14:51 IST 2026","15730","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:14:01 IST 2026","Thu May 28 12:14:02 IST 2026","1299","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNoteVisibilityAfterRefresh","verifyNoteVisibilityAfterRefresh",""
"passed","Thu May 28 12:15:17 IST 2026","Thu May 28 12:15:19 IST 2026","2097","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:14:21 IST 2026","Thu May 28 12:14:22 IST 2026","1017","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:14:30 IST 2026","Thu May 28 12:14:30 IST 2026","451","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
