"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 12:24:08 IST 2026","Thu May 28 12:24:13 IST 2026","5461","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifySuccessfulNoteDeletion","verifySuccessfulNoteDeletion",""
"passed","Thu May 28 12:26:02 IST 2026","Thu May 28 12:26:03 IST 2026","1705","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:24:36 IST 2026","Thu May 28 12:24:45 IST 2026","9034","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiStabilityDuringMultipleRequests","verifyApiStabilityDuringMultipleRequests",""
"passed","Thu May 28 12:24:34 IST 2026","Thu May 28 12:24:34 IST 2026","595","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:25:08 IST 2026","Thu May 28 12:25:23 IST 2026","15755","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDoesNotReappearAfterRefresh","verifyDeletedNoteDoesNotReappearAfterRefresh",""
"passed","Thu May 28 12:24:39 IST 2026","Thu May 28 12:24:40 IST 2026","774","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:24:35 IST 2026","Thu May 28 12:24:36 IST 2026","1163","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiResponseTime","verifyApiResponseTime",""
"passed","Thu May 28 12:24:20 IST 2026","Thu May 28 12:24:28 IST 2026","8146","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyUiCreatedNoteInApi","verifyUiCreatedNoteInApi",""
"passed","Thu May 28 12:23:57 IST 2026","Thu May 28 12:24:06 IST 2026","9094","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNewlyCreatedNoteAppearsInstantly","verifyNewlyCreatedNoteAppearsInstantly",""
"passed","Thu May 28 12:24:14 IST 2026","Thu May 28 12:24:16 IST 2026","2465","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifyInvalidNoteIdDeletion","verifyInvalidNoteIdDeletion",""
"passed","Thu May 28 12:25:48 IST 2026","Thu May 28 12:25:50 IST 2026","2021","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:25:54 IST 2026","Thu May 28 12:25:56 IST 2026","1875","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:24:07 IST 2026","Thu May 28 12:24:37 IST 2026","30457","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:24:06 IST 2026","Thu May 28 12:24:08 IST 2026","1315","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNoteVisibilityAfterRefresh","verifyNoteVisibilityAfterRefresh",""
"passed","Thu May 28 12:26:07 IST 2026","Thu May 28 12:26:09 IST 2026","1617","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:24:05 IST 2026","Thu May 28 12:24:17 IST 2026","12652","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:24:45 IST 2026","Thu May 28 12:25:42 IST 2026","56978","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:23:57 IST 2026","Thu May 28 12:24:02 IST 2026","4459","ParallelSuite","AllParallelTests","tests.api.UnauthorizedApiTests","tests.api.UnauthorizedApiTests","verifyUnauthorizedApiRequestHandling","verifyUnauthorizedApiRequestHandling",""
"passed","Thu May 28 12:24:23 IST 2026","Thu May 28 12:25:02 IST 2026","38707","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDisappearsFromUi","verifyDeletedNoteDisappearsFromUi",""
"passed","Thu May 28 12:24:46 IST 2026","Thu May 28 12:24:49 IST 2026","3318","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyCreatedNoteStillExistsInApi","verifyCreatedNoteStillExistsInApi",""
